"","X","patch","patch_tree","patch_total_veg","water_present","patch_size","patch_tree_scaled","patch_total_veg_scaled","patch_size_scaled"
"59",59,"p_59",0.380832219460094,0.905335348715194,1,0.0800516960949644,0.408237442619205,0.518423001153649,-0.0849811883192982
"60",60,"p_60",0.155612502073164,0.919239287026709,1,0.922466628422071,-0.530281719421475,0.584395457114358,0.559552679531106
"61",61,"p_61",0.782425757305243,0.97270130333869,1,0.168035982610881,2.08172871146694,0.838066067389713,-0.0176641806049311
"62",62,"p_62",0.952870256199479,0.982257843540211,1,0.0146080105880451,2.79199258237767,0.883410660659337,-0.13505232325234
"63",63,"p_63",0.234892576370734,0.927117537263089,1,1.29716308709692,-0.199911582385702,0.621776773481145,0.846233919988717
"64",64,"p_64",0.575678587102523,0.871690183926695,1,0.0751962024471357,1.22018699929268,0.358780883749993,-0.0886961392075891
"65",65,"p_65",0.325647950340602,0.908904026764481,0,0.0248008820175175,0.178277585583799,0.535355934123407,-0.127253730664729
"66",66,"p_66",0.136524724069721,0.877442698337702,1,22.7412648339919,-0.609822914237171,0.386075848323391,17.2531722482578
"67",67,"p_67",0.273313957742171,0.984141633984681,1,1.13439987388287,-0.0398048072439128,0.892349011747538,0.721703359891906
"68",68,"p_68",0.734197278105531,0.951076991752754,1,1.81464783058853,1.88075451431329,0.73546140158777,1.24216285058691
"69",69,"p_69",0.727134532556372,0.856853306308589,0,0.00394571776300017,1.85132315674207,0.288381746949717,-0.14321007137736
"70",70,"p_70",0.0601667270750272,0.832703360430798,1,0.019316503805276,-0.928016384089751,0.173793260926545,-0.131449842777943
"71",71,"p_71",0.393739119335406,0.787254863723554,1,0.282024292821533,0.462022133391682,-0.0418541966729989,0.0695485736453406
"72",72,"p_72",0.445509242029525,0.830583467725261,0,0.0967694040739002,0.677754808724696,0.163734634009189,-0.0721904262236032
"73",73,"p_73",0.27308379144928,0.783448300010505,0,0.0570956642240318,-0.0407639394142233,-0.0599158674956304,-0.102544908339546
"74",74,"p_74",0.239751994313245,0.729207803491035,0,0.050720581481774,-0.179661770742542,-0.31728026941866,-0.107422500818092
"75",75,"p_75",0.250063517209427,0.700303388082677,0,0.0668696832318492,-0.13669234541793,-0.454428121334739,-0.0950667808351469
"76",76,"p_76",0.305667237702339,0.72766842638884,0,0.057232243446147,0.0950154187548544,-0.324584422084339,-0.102440411219517
"77",77,"p_77",0.503795721187026,0.606625258799172,0,0.00143826153923944,0.920641968924879,-0.898919179923468,-0.145128532691788
"78",78,"p_78",0.2983162881743,0.786365764053391,0,0.0705440012977176,0.0643830786058527,-0.0460728638966541,-0.0922555504736851
"79",79,"p_79",0.72647442151488,0.858770676557387,1,1.48290058775471,1.84857239020749,0.297479430028075,0.988342167492274
"80",80,"p_80",0.297617530895656,0.755000637023825,0,0.00783353595485771,0.0614712682935428,-0.194896486045955,-0.140235491511147
"81",81,"p_81",0.365406498925275,0.781093269271294,0,0.02374582958808,0.343956506304291,-0.0710901951032297,-0.128060954037719
"82",82,"p_82",0.187510096697514,0.586946989453278,0,0.0866656857198686,-0.397360392082594,-0.992290117618855,-0.0799208075600376
